"Disaster Number","Declaration Date","Disaster Name","Incident Begin Date","Incident End Date","Declaration Type","State Code","State Name","Incident Type","Closeout Date","Region"
503,"05-22-1976","TYPHOON PAMELA","05-22-1976","05-22-1976","Major Disaster","GU","Guam","Typhoon","06-30-1994",9
501,"04-16-1976","FLOODING","04-16-1976","04-16-1976","Major Disaster","ND","North Dakota","Flood","09-18-1980",8
3012,"04-13-1976","SEVERE FLOODING","04-13-1976","04-13-1976","Emergency","ND","North Dakota","Flood","04-16-1976",8
500,"04-08-1976","ICE STORMS & HIGH WINDS","04-08-1976","04-08-1976","Major Disaster","NE","Nebraska","Severe Ice Storm","08-18-1982",7
499,"04-01-1976","SEVERE STORMS, TORNADOES & FLOODING","04-01-1976","04-01-1976","Major Disaster","MS","Mississippi","Severe Storm","11-06-1981",4
498,"04-01-1976","TORNADOES","04-01-1976","04-01-1976","Major Disaster","AR","Arkansas","Tornado","11-06-1981",6
497,"04-01-1976","SEVERE STORMS & TORNADOES","04-01-1976","04-01-1976","Major Disaster","OK","Oklahoma","Tornado","11-06-1981",6
496,"03-23-1976","SEVERE STORMS, ICING, WIND & FLOODING","03-23-1976","03-23-1976","Major Disaster","WI","Wisconsin","Flood","06-09-1986",5
495,"03-19-1976","SEVERE STORMS, TORNADOES, ICING & FLOODING","03-19-1976","03-19-1976","Major Disaster","MI","Michigan","Severe Storm","06-26-1980",5
494,"03-19-1976","ICE STORM,SEVERE STORMS & FLOODING","03-19-1976","03-19-1976","Major Disaster","NY","New York","Severe Ice Storm","09-27-1991",2
493,"12-18-1975","FIRE & FREEZING","12-18-1975","12-18-1975","Major Disaster","AK","Alaska","Fire","08-18-1982",10
492,"12-13-1975","SEVERE STORMS & FLOODING","12-13-1975","12-13-1975","Major Disaster","WA","Washington","Flood","08-18-1982",10
491,"12-10-1975","SEVERE STORMS & TORNADOES","12-10-1975","12-10-1975","Major Disaster","OK","Oklahoma","Tornado","04-25-1978",6
490,"12-07-1975","EARTHQUAKE, SEISMIC WAVES & VOLCANIC ERUPTION","12-07-1975","12-07-1975","Major Disaster","HI","Hawaii","Earthquake","09-10-1979",9
489,"10-04-1975","HEAVY RAINS & FLOODING","10-04-1975","10-04-1975","Major Disaster","MD","Maryland","Flood","10-02-1991",3
488,"10-02-1975","SEVERE STORMS, TORNADOES & FLOODING","10-02-1975","10-02-1975","Major Disaster","AL","Alabama","Severe Storm","11-06-1981",4
487,"10-02-1975","STORMS, RAINS, LANDSLIDES & FLOODING","10-02-1975","10-02-1975","Major Disaster","NY","New York","Flood","08-03-1988",2
486,"09-30-1975","SEVERE STORMS, HIGH WINDS & FLOODING","09-30-1975","09-30-1975","Major Disaster","MI","Michigan","Flood","09-18-1980",5
485,"09-26-1975","SEVERE STORMS, HEAVY RAINS & FLOODING","09-26-1975","09-26-1975","Major Disaster","PA","Pennsylvania","Flood","06-03-1987",3
484,"09-26-1975","HIGH WINDS, HEAVY RAINS & FLOODING","09-26-1975","09-26-1975","Major Disaster","FL","Florida","Flood","11-03-1978",4
483,"09-19-1975","TROPICAL STORM ELIOISE","09-19-1975","09-19-1975","Major Disaster","PR","Puerto Rico","Flood","07-14-1999",2
482,"09-15-1975","HEAVY RAINS, TORNADOES & FLASH FLOODS","09-15-1975","09-15-1975","Major Disaster","WI","Wisconsin","Severe Storm","06-27-1978",5
481,"09-12-1975","HEAVY RAINS & FLOODING","09-12-1975","09-12-1975","Major Disaster","WV","West Virginia","Flood","05-04-1984",3
480,"09-11-1975","WINDS, TORNADOES, HEAVY RAINS & FLOODING","09-11-1975","09-11-1975","Major Disaster","OH","Ohio","Flood","08-27-1981",5
479,"08-22-1975","FLOODING","08-22-1975","08-22-1975","Major Disaster","FL","Florida","Flood","07-05-1978",4
2017,"07-29-1975","CUSTER STATE PARK","07-29-1975","07-29-1975","Fire Suppression","SD","South Dakota","Fire","03-02-1977",8
